"a","ه"
"MEDRÛS","مدروس"
"MED'UV","مدعو"
"MED'UVVÎN","مدعوین"
"MEDYÛN","مدیون"
"MEFÂHÎM","مفاهيم"
"MEFÂHİR","مفاخر"
"MEFÂSIL","مفاصل"
"MEFÂTİH","مفاتيح"
"MEFHAR","مفخر"
"MEFHUM","مفهوم"
"MEFKÛD","مفقود"
"MEFKÛRE","مفكوره"
"MEFKÛREVÎ","مفكوروی"
"MEFLÛC","مفلوج"
"MEFLÛCİYET","مفلوجيت"
"MEFRÛŞ","مفروش"
"MEFRÛŞAT","مفروشات"
"MEFTÛH","مفتوح"
"MEFTÛN","مفتون"
"MEFTÛNİYET","مفتونيت"
"MEGER","مگر"
"MEGES","مگس"
"MEĞÂK","مغاک"
"MEH","مه"
"MEHÂBET","مهابت"
"MEHÂLİK","مهالك"
"MEHÂR","مهار"
"MEHAZ","مأخذ"
"MEHBİL","مهبل"
"MEHD","مهد"
"MEHEKK","محك"
"MEHÎB","مهيب"
"MEHL","مهل"
"MEHLEKE","مهلكه"
"MEHLİKÂ","مه لقا"
"MEHPARE","مه پاره"
"MEHPEYKER","مه پيكر"
"MEHR","مهر"
"MEHRÛ","مهرو"
"MEHTÂB","مهتاب"
"MEHÛZ","مأخوذ"
"MEHVEŞ","مهوش"
"MEKÂN","مكان"
"MEKÂRE","مكاره"
"MEKÂRİM","مكارم"
"MEKÂTİB","مكاتب"
"MEKÂTÎB","مكاتيب"
"MEKÂTİB-İ ÂLİYE","مكاتب عاليه"
"MEKÂTİB-İ ASKERİYE","مكاتب عسكریه"
"MEKHÛL","مكحول"
"MEKNÛN","مكنون"
"MEKR","مكر"
"MEKRÛH","مكروه"
"MEKS","مكث"
"MEKSUR","مكسور"
"MEKŞÛF","مكشوف"
"MEKTEB","مكتب"
"MEKTEB-İ ÂLÎ","مكتب عالى"
"MEKTEB-İ HARBİYE","مكتب حربيه"
"MEKTEB-İ İBTİDÂÎ","مكتب ابتدائى"
"MEKTEB-İ İ'DÂDÎ","مكتب اعدادی"
"MEKTEB-İ RÜŞDÎ","مكتب رشدی"
"MEKTEB-İ SULTÂNÎ","مكتب سلطانى"
"MEKTEP","مكتب"
"MEKTUB","مكتوب"
"MEKTÛBAT","مكتوبات"
"MEKTÛBÎ","مكتوبى"
"MEKTÛM","مكتوم"
"MELABE","ملعبه"
"MELÂBİS","ملابس"
"MELAH","ملخ"
"MELAHAT","ملاحت"
"MELÂHİDE","ملاحده"
"MELÂİK","ملائك"
"MELÂİKE","ملائكه"
"MELÂL","ملال"
"MELANET","ملعنت"
"MELCE","ملجأ"
"MELEKÂT","ملكات"
"MELEKE","ملكه"
"MELEKSÎMÂ","ملك سيما"
"MELEKÛT","ملكوت"
"MELFÛFEN","ملفوفا"
"MELHÛZ","ملحوظ"
"MELİK","ملك"
"MELLAH","ملاح"
"MELSÛK","ملصوق"
"MELÛF","مألوف"
"MELUN","ملعون"
"MEMÂLİK","ممالك"
"MEMÂT","ممات"
"MEMDUH","ممدوح"
"MEMER","ممر"
"MEMHÛR","ممهور"
"MEMLEKET","مملكت"
"MEMLÛK","مملوک"
"MEMNÛ","ممنوع"
"MEMNÛA","ممنوعه"
"MEMNÛİYET","منوعيت"
"MEMNÛN","ممنون"
"MEMNUNİYET","ممنونيت"
"MEMÛL","مأمول"
"MEMUR","مأمور"
"MEMURÎN","مأمورین"
"MEMÛRİYET","مأموریت"
"MEMZUC","ممزوج"
"MEN","من"
"MEN'","منع"
"MENÂBİ'","منابع"
"MENÂFİ'","منافع"
"MENÂKIB","مناقب"
"MENÂM","منام"
"MENÂRE","مناره"
"MENÂSIB","مناصب"
"MENÂTIK","مناطق"
"MENÂZIR","مناظر"
"MENÂZİL","منازل"
"MENBA","منبع"
"MENFÂ","منفى"
"MENFAAT","منفعت"
"MENFAATPEREST","منفعت پرست"
"MENFEZ","منفذ"
"MENFÎ","منفى"
"MENFUR","منفور"
"MENHÎ","منهى"
"MENHİYAT","منهيات"
"MENHUS","منحوس"
"MENİ","منى"
"MENÎ","منى"
"MENÎ'","منيع"
"MENKABE","منقبه"
"MENKÛHA","منكوحه"
"MENKUL","منقول"
"MENKÛŞ","منقوش"
"MENSÛB","منصوب"
"MENSÛBÎN","منصوبين"
"MENSUBİYET","منصوبيت"
"MENSÛC","منسوج"
"MENSÛCÂT","منسوجات"
"MENSÛH","منسوخ"
"MENSÛR","منثور"
"MENŞE","منشا"
"MENŞUR","منشور"
"MENUS","مأنوس"
"MENÛT","منوط"
"MENZİL","منزل"
"MENZİLGÂH","منزلگاه"
"MERA","مرعى"
"MERÂKİZ","مراكز"
"MERÂM","مرام"
"MERÂRET","مرارت"
"MERÂSÎ","مراثى"
"MERÂSİM","مراسم"
"MERÂTİB","مراتب"
"MERBUT","مربوط"
"MERBÛTİYET","مربوطيت"
"MERCÂN","مرجان"
"MERCİ","مرجع"
"MERD","مرد"
"MERDÂNE","مردانه"
"MERDİVEN","نردبان"
"MERDÛD","مردود"
"MERDUM","مردم"
"MERDÜM","مردم"
"MERDÜMEK","مردمك"
"MERDÜMGİRİZ","مرمگریز"
"MERDÜMHAR","مردم خوار"
"MERDÜMÎ","مردمى"
"MEREMMET","مرمت"
"MERG","مرگ"
"MERGUB","مرغوب"
"MERHALE","مرحله"
"MERHAMET","مرحمت"
"MERHEM","مرهم"
"MERHÛM","مرحوم"
"MERHÛME","مرحومه"
"MERHUN","مرهون"
"MER'Î","مرئى"
"MERİH","مریخ"
"MERKAD","مرقد"
"MERKEB","مركب"
"MERKUM","مرقوم"
"MERKÛZ","مركوز"
"MERMİ","مرمى"
"MERMÛZ","مرموز"
"MERRÂT","مرات"
"MERRE","مره"
"MERSİYE","مرثيه"
"MERTEBE","مرتبه"
"MERZAGÎ","مرزغى"
"MERZÜBAN","مرزبان"
"MESÂ","مسا"
"MESÂCİD","مساجد"
"MESAFE","مسافه"
"MESÂHA","مساحه"
"MESAİ","مساعى"
"MESÂİB","مصائب"
"MESÂİL","مسائل"
"MESÂKİN","مساكن"
"MESÂKÎN","مساكن"
"MESÂME","مسامه"
"MESÂRİF","مصارف "
"MESÂVÎ","مساوی"
"MESCİD","مسجد"
"MESDÛD","مسدود"
"MESEL","مثل"
"MESELÂ","مثلا"
"MESELE","مسئله"
"MESERRÂT","مسرات"
"MESERRET","مسرت"
"MESH","مسخ"
"MESHÛR","مسحور"
"MESÎH","مسيح"
"MESÎHÎ","مسيحى"
"MESÎHİYYET","مسيحيت"
"MESÎR","مسير"
"MESÎRE","مسيره"
"MESKEN","مسكن"
"MESKENET","مسكنت"
"MESKÛKÂT","مسكوكات"
"MESKÛN","مسكون"
"MESLAH","مسلخ"
"MESLEK","مسلك"
"MESLÛL","مسلول"
"MESMÛ","مسموع"
"MESMÛAT","مسموعات"
"MESMÛM","مسموم"
"MESNED","مسند"
"MESNEVÎHAN","مثنوی خوان"
"MESRUK","مسروق"
"MESRÛR","مسرور"
"MESRÛRANE","مسرورانه"
"MESSAH","مساح"
"MEST","مست"
"MESTÂNE","مستانه"
"MESTÎ","مستى"
"MEST-İ HARÂB","مست خراب"
"MESUD","مسعود"
"MESÛDÂNE","مسعودانه"
"MESULİYET","مسئوليت"
"MEŞÂGİL","مشاغل"
"MEŞÂHÎR","مشاهير"
"MEŞÂİL","مشاعل"
"MEŞAKKAT","مشقت"
"MEŞ'AL","مشعل"
"MEŞÂMM","مشام"
"MEŞÂRIK","مشارق"
"MEŞÂYİH","مشایخ"
"MEŞBÛ","مشبوع"
"MEŞCER","مشجر"
"MEŞCERE","مشجره"
"MEŞGALE","مشغله"
"MEŞGÛLİYET","مشغوليت"
"MEŞHED","مشهد"
"MEŞHER","مشهر"
"MEŞHÛD","مشهود"
"MEŞHÛN","مشحون"
"MEŞHÛR","مشهور"
"MEŞÎHAT","مشيخت"
"MEŞKÛK","مشكوک"
"MEŞKÛKİYYET","مشكوكيت"
"MEŞKÛR","مشكور"
"MEŞREB","مشرب"
"MEŞREBE","مشربه"
"MEŞRÛ","مشروع"
"MEŞRÛBÂT","مشروبات"
"MEŞRÛH","مشروح"
"MEŞRÛHÂT","مشروحات"
"MEŞRÛİYYET","مشروعيت"
"MEŞRÛT","مشروط"
"MEŞŞÂTE","مشاطه"
"MEŞ'UM","مشئوم"
"MEŞ'ÛR","مشعور"
"METÂ","متاع"
"METÂLİ","مطالع"
"METÂNET","متانت"
"METBÛ","متبوع"
"METİN","متين"
"METN","متن"
"METREMİK'AB","مترو مكعب"
"METRÛK","متروک"
"METRÛKAT","متروكات"
"ME'VÂ","مأوا"
"MEVÂD","مواد"
"MEVÂRİD","موارد"
"MEVC","موج"
"MEVCE","موجه"
"MEVCÛD","موجود"
"MEVCÛDÂT","موجودات"
"MEVCÛDİYYET","موجودیت"
"MEVEDDET","مودت"
"MEVHİBE","موهبه"
"MEVHÛM","موهوم"
"MEV'İZE","موعظه"
"MEVKİ","موقع"
"MEVKİB","موكب"
"MEVKİF","موقف"
"MEVKİ-İ RÜCHAN","موقع رجحان"
"MEVKÛF","موقوف"
"MEVKUFLEH","موقوف له"
"MEVLÂ","مولى"
"MEVLİD","مولد"
"MEVSUK","موثوق"
"MEVSÛKİYET","موثوقيت"
"MEVSÛM","موسوم"
"MEVT","موت"
"MEVTÂ","موتا"
"MEVTÂÎ","موتائى"
"MEVTIN","موطن"
"MEV'ÛD","موعود"
"MEVZİ","موضع"
"MEVZİ'Î","موضعى"
"MEVZÛ","موضوع"
"MEVZU-İ BAHİS","موضوع بحث"
"MEVZUN","موزون"
"MEY","مى"
"MEYDÂN","ميدان"
"MEYGÛN","ميگون"
"MEYHÂNE","ميخانه"
"MEYHÂR","ميخوار"
"MEYİL","ميل"
"MEYKEDE","ميكده"
"MEYL","ميل"
"MEYMENE","ميمنه"
"MEYMÛN","ميمون"
"MEYSERE","ميسره"
"MEYT","ميت"
"MEYUS","مأیوس"
"ME'YÛS","مأیوس"
"MEYVEDÂR","ميوه دار"
"MEYYÂL","ميال"
"MEYYİT","ميت"
"MEZÂHİB","مذاهب"
"MEZÂLİM","مظالم"
"MEZÂMİN","مضامن"
"MEZARGÂH","مزارگاه"
"MEZÂRİ","مزارع"
"MEZÂYÂ","مزایا"
"MEZBELE","مزبله"
"MEZBUH","مذبوح"
"MEZBÛR","مزبور"
"MEZC","مزج"
"MEZELLET","مذلت"
"MEZHEB","مذهب"
"MEZİYYÂT","مزیات"
"MEZİYYET","مزیت"
"MEZKÛR","مذكور"
"MEZMÛM","مذموم"
"MEZRA","مزرع"
"MEZRA'A","مزرعه"
"MEZRÛ","مزروع"
"MEZUN","مأذون"
"MEZUNEN","مأذونا"
"MIKRAZ","مقراض"
"MINTAKA","منطقه"
"MISBAH","مصباح"
"MISDAK","مصداق"
"MISRA","مصراع"
"MITRAK","مطرق"
"MIZRAB","مضرب"
"MIZRAK","مزراق"
"MİÂD","ميعاد"
"MİCMER","مجمر"
"MİDEVÎ","معدوی"
"MİDHAT","مدحت"
"MİE","مائه"
"MİFTAH","مفتاح"
"MİĞFER","مغفر"
"MÎH","ميخ"
"MİHEKK","محك"
"MİHEN","محن"
"MİHMÂN","مهمان"
"MİHMANNEVAZ","مهمان نواز"
"MİHMANNÜVAZ","مهمان نواز"
"MİHMÂNSERÂ","مهمان سرا"
"MİHNET","محنت"
"MİHR","مهر"
"MİHRAK","محراق"
"MİHRBÂN","مهربان"
"MİHTER","مهتر"
"MİHVER","محور"
"MİK'AB","مكعب"
"MÎKAT","ميقات"
"MİKDAR","مقدار"
"MİKRAZ","مقراض"
"MİKYAS","مقياس"
"MİL","ميل"
"MÎLÂD","ميلاد"
"MİLEL","ملل"
"MİLHAFE","ملحفه"
"MİLK","ملك"
"MİLLET","ملت"
"MİLLÎ","ملى"
"MİLLİYETPERVER","مایت پرور"
"MİLLİYYE","مليه"
"MÎNA","مينا"
"MİNBA'D","من بعد"
"MİNELKADİM","من القدیم"
"MİNEN","منن"
"MİNKALE","منقله"
"MİNKAR","منقار"
"MİNKAŞ","منقاش"
"MİNNETDÂR","منتدار"
"MİNŞÂR","منشار"
"MİNVÂL","منوال"
"MİRÂC","معراج"
"MÎRAHUR","ميرآخور"
"MİRALAY","ميرآلای"
"MİRÂREN","مرارا"
"MİRASHÂR","ميراث خوار"
"MİR'ÂT","مرآت"
"MİRLİVA","ميرلوا"
"MİRSÂD","مرصاد"
"MİRVAHA","مروحه"
"MİRZA","ميرزا"
"MÎSAK","ميثاق"
"MİSKİN","مسكين"
"MİSKÎN","مسكين"
"MİSL","مثل"
"MÎŞÎN","ميشين"
"MİTHARA","مطهره"
"MÎVEDAR","ميوه دار"
"MİYÂH","مياه"
"MİYÂN","ميان"
"MİYÂR","معيار"
"MİZÂC","مزاج"
"MÎZAN","ميزان"
"MÛ","مو"
"MU‘ARRİF","معرف"
"MUABBİR","معبر"
"MUACCEL","معجل"
"MUADDİL","معدل"
"MUÂDELE","معادله"
"MUÂDELET","معادلت"
"MUÂDİL","معادل"
"MUÂFİYET","معافيت"
"MUÂHEDE","معاهده"
"MUÂHEDENÂME","معاهده نامه"
"MUÂHEZE","مؤاخذه"
"MUAHHAR","مؤخر"
"MUAKKİB","معقب"
"MUALLA","معلى"
"MUALLAK","معلق"
"MUALLAKİYET","معلقيت"
"MUALLİM","معلم"
"MUALLİMÂT","معلمات"
"MUALLİME","معلمه"
"MUALLİMÎN","معلمين"
"MUAMELAT","معاملات"
"MUAMELE","معامله"
"MUAMMA","معما"
"MUANBER","معنبر"
"MUÂNİD","معاند"
"MUANNİD","معند"
"MUÂRAZA","معارضه"
"MUÂRIZ","معارض"
"MUARRÂ","معری"
"MUÂSIR","معاصر"
"MUÂŞAKA","معاشقه"
"MUÂVAZA","معاوضه"
"MUAVENET","معاونت"
"MUAVİN","معاون"
"MUAYEDE","معایده"
"MUAYYEN","معين"
"MUAZZAM","معظم"
"MUAZZEB","معذب"
"MUAZZEZ","معزز"
"MUBASSIR","مبصر"
"MÛCEZ","موجز"
"MÛCİB","موجب"
"MÛCİD","موجد"
"MU'CİZÂT","معجزات"
"MU'CİZEGÛ","معجزه گو"
"MUDHİKE","مضحكه"
"MUFASSALAN","مفصلا"
"MUGÂLATA","مغالطه"
"MUGANNÎ","مغنى"
"MUGANNİYE","مغنيه"
"MUGÂYERET","مغایرت"
"MUGAYİR","مغایر"
"MUGÎLÂN","مغيلان"
"MUĞBER","مغبر"
"MUĞFİL","مغفل"
"MUĞLAK","مغلق"
"MUĞLAKİYET","مغلقيت"
"MUHABBET","محبت"
"MUHABERE","مخابره"
"MUHABİR","مخابر"
"MUHÂCERET","مهاجرت"
"MUHACİM","مهاجم"
"MUHACİR","مهاجر"
"MUHADDİR","مخدر"
"MUHADDİS","محدث"
"MUHAFAZA","محافظه"
"MUHAFFEF","مخفف"
"MUHAFFİF","مخفف"
"MUHÂFIZ","محافظ"
"MUHÂKEMAT","محاكمات"
"MUHAKEME","محاكمه"
"MUHAKKAK","محقق"
"MUHAKKIK","محقق"
"MUHÂL","محال"
"MUHALEFET","مخالفت"
"MUHALLİL","محلل"
"MUHAMMEN","مخمن"
"MUHAMMER","مخمر"
"MUHAMMES","مخمس"
"MUHANNENS","مخنث"
"MUHANNET","محنط"
"MUHAREBAT","محاربات"
"MUHAREBE","محاربه"
"MUHARİB","محارب"
"MUHARREMÂT","محرمات"
"MUHARRER","محرر"
"MUHARRİB","مخرب"
"MUHARRİK","محرق"
"MUHARRİR","محرر"
"MUHASARA","محاصره"
"MUHASİB","محاسب"
"MUHASSALA","محصله"
"MUHASSAS","مخصص"
"MUHÂT","محاط"
"MUHATARA","مخاطره"
"MUHAVERE","محاوره"
"MUHAYYEL","مخيل"
"MUHAYYİLE","مخيله"
"MUHAYYİRÜLUKÛL","محيرالعقول"
"MUHBİR","مخبر"
"MUHIK","محق"
"MUHİB","محب"
"MÛHİŞ","موحش"
"MUHİT","محيط"
"MUHTÂC","محتاج"
"MUHTARİYET","مختاریت"
"MUHTASAR","مختصر"
"MUHTASARAN","مختصرا"
"MUHTEKİR","محتكر"
"MUHTELEFÜNFÎH","مختلف فيه"
"MUHTELİF","مختلف"
"MUHTELİT","مختلط"
"MUHTEREM","محترم"
"MUHTERİZ","محترز"
"MUHTEŞEM","محتشم"
"MUHTEVA","محتوا"
"MUHTEVÎ","محتوی"
"MUHTEVİYAT","محتویات"
"MUHYÎ","محيى"
"MUKÂBİL","مقابل"
"MUKADDEM","مقدم"
"MUKADDEMÂ","مقدما"
"MUKADDERAT","مقدرات"
"MUKADDES","مقدس"
"MUKADDESAT","مقدسات"
"MUKADDİME","مقدمه"
"MUKALLİD","مقلد"
"MUKANNA","مقنع"
"MUKANNİN","مقنن"
"MUKARREB","مقرب"
"MUKARRER","مقرر"
"MUKARRERAT","مقررات"
"MUKASSIR","مقصر"
"MUKATTAR","مقطر"
"MUKAVELAT","مقاولات"
"MUKAVELE","مقاوله"
"MUKAVELENAME","مقاوله نامه"
"MUKAVEMET","مقاومت"
"MUKAVİM","مقاوم"
"MUKAVVÎ","مقوی"
"MUKÂYESE","مقایسه"
"MUKAYYED","مقيد"
"MUKAYYİ","مقيىء"
"MUKIRR","مقر"
"MUKÎM","مقيم"
"MUKNİ","مقنع"
"MUKTEBES","مقتبس"
"MUKTEDÂ","مقتدا"
"MUKTEDÎ","مقتدی"
"MUKTEDİR","مقتدر"
"MUKTESİD","مقتصد"
"MUKTEZÎ","مقتضى"
"MÛMÂİLEYH","مومى اليه"
"MÛMÂİLEYHİM","مومى اليهم"
"MUMZA","ممضى"
"MUNFASIL","منفصل"
"MUNİS","مونس"
"MUNKALİB","منقلب"
"MUNKARIZ","منقرض"
"MUNSARİF","منصرف"
"MUNSİF","منصف"
"MUNTABIK","منطبق"
"MUNTAZAM","منتظم"
"MUNTAZAMAN","منتظما"
"MUNTAZIR","منتظر"
"MUNZAM","منضم"
"MÛR","مور"
"MURABBA","مربع"
"MURABBAUŞŞEKL","مربع الشكل"
"MURÂD","مراد"
"MURÂFAA","مرافعه"
"MURAHHAS","مرخص"
"MURAKABE","مراقبه"
"MURAKIB","مراقب"
"MURAKKA","مرقع"
"MURASSA","مرصع"
"MURG","مرغ"
"MURZİA","مرضعه"
"MUSÂB","مصاب"
"MUSADİF","مصادف"
"MUSÂFAHA","مصافحه"
"MUSAHABE","مصاحبه"
"MUSAHHAH","مصحح"
"MUSAHİB","مصاحب"
"MUSALAHA","مصالحه"
"MUSANNİF","مصنف"
"MUSARRA","مصرع"
"MUSATTAH","مسطح"
"MUSAVVER","مصور"
"MUSAVVİR","مصور"
"MUSHAF","مصحف"
"MUSÎBET","مصيبت"
"MÛSİKÎŞİNAS","موسيقى شناس"
"MUSİR","مصر"
"MUSİRRANE","مصرانه"
"MUSTAKİM","مستقيم"
"MÛŞ","موش"
"MUŞAMMA","مشمع"
"MÛŞİKÂFÂNE","موشكافانه"
"MUŞT","مشت"
"MU'TÂ","معطى"
"MUTA'ASSIB","متعصب"
"MUTABIK","مطابق"
"MU'TÂD","معتاد"
"MU'TÂDE","معتاده"
"MUTÂLEBÂT","مطالبات"
"MUTÂLEBE","مطالبه"
"MUTANTAN","مطنطن"
"MUTARRİDEN","مطردا"
"MUTASARRIF","متصرف"
"MUTASAVVIFÂNE","متصوفانه"
"MUTÂVA'AT","مطاوعت"
"MUTAVATTIN","متوطن"
"MUTAYEBE","مطایبه"
"MUTAZAMMİN","متضمن"
"MUTAZARRIR","متضرر"
"MUTEBER","معتبر"
"MUTEDİL","معتدل"
"MUTEKİD","معتقد"
"MUTEMED","معتمد"
"MUTÎ","مطيع"
"MU'TİYAT","معطيات"
"MUTLAK","مطلق"
"MUTLAKA","مطلقا"
"MUTRİB","مطرب"
"MUTTASIL","متصل"
"MUVACEHE","مواجهه"
"MUVAFFAK","موفق"
"MUVAFFAKİYET","موفقيت"
"MUVAHHİŞ","موحش"
"MUVAKKAR","موقر"
"MUVAKKAT","موقت"
"MUVAKKATEN","موقتا"
"MUVÂSALAT","مواصلات"
"MUVÂZATEN","موازاتا"
"MUVAZENE","موازنه"
"MUVAZİ","موازی"
"MUVAZZAF","موظف"
"MUZAFFERİYET","مظفریت"
"MUZDARİP","مضطرب"
"MUZIR","مضر"
"MUZLİM","مظلم"
"MUZTARİB","مضطرب"
"MÜBADELE","مبادله"
"MÜBAHESAT","مباحثات"
"MÜBAHESE","مباحثه"
"MÜBALAĞA","مبالغه"
"MÜBAREK","مبارک"
"MÜBAREZE","مبارزه"
"MÜBÂYAA","مبایعه"
"MÜBDİ","مبدع"
"MÜBEŞŞİR","مبشر"
"MÜBHEM","مبهم"
"MÜBİN","مبين"
"MÜBREM","مبرم"
"MÜBTEDİ","مبتدی"
"MÜBTELA","مبتلا"
"MÜBTENÎ","مبتنى"
"MÜBTEZEL","مبتذل"
"MÜCADELE","مجادله"
"MÜCAVİR","مجاور"
"MÜCAZAT","مجازات"
"MÜCBİR","مجبر"
"MÜCEDDİD","مجدد"
"MÜCEHHEZ","مجهز"
"MÜCELLÂ","مجلا"
"MÜCELLİD","مجلد"
"MÜCERREB","مجرب"
"MÜCERRED","مجرد"
"MÜCMELEN","مجملا"
"MÜCRİM","مجرم"
"MÜCTEMİ'","مجتمع"
"MÜDAFAA","مدافعه"
"MÜDAHALE","مداخله"
"MÜDAHENE","مداهنه"
"MÜDAVİM","مداوم"
"MÜDDEÎ","مدعى"
"MÜDDET","مدت"
"MÜDDET-İ MUVAKKATA","مدت موقته"
"MÜDDET-İ TAHSİLİYE","مدت تحصيليه"
"MÜDEVVER","مدور"
"MÜDHİŞ","مدهش"
"MÜDHİŞE","مدهشه"
"MÜDRİK","مدرک"
"MÜEBBEDEN","مؤبدا"
"MÜELLEFAT","مؤلفات"
"MÜELLİF","مؤلف"
"MÜESSES","مؤسس"
"MÜESSESAT","مؤسسات"
"MÜESSESE","مؤسسه"
"MÜESSİF","مؤسف"
"MÜESSİR","مؤثر"
"MÜESSİRİYET","مؤثریت"
"MÜESSİS","مؤسس"
"MÜEYYİDE","مؤیده"
"MÜFEKKİRE","مفكره"
"MÜFİD","مفيد"
"MÜFLİS","مفلس"
"MÜFREZE","مفرزه"
"MÜFRİT","مفرط"
"MÜFSİD","مفسد"
"MÜFTEHİR","مفتخر"
"MÜFTEKİR","مفتقر"
"MÜFTERİ","مفتری"
"MÜHEYYA","مهيا"
"MÜHEYYİC","مهيج"
"MÜHİM","مهم"
"MÜHİMMAT","مهمات"
"MÜHİMME","مهمه"
"MÜHLET","مهلت"
"MÜHLİK","مهلك"
"MÜHR","مهر"
"MÜHTEDÎ","مهتدی"
"MÜHTEZ","مهتز"
"MÜHÜRDAR","مهردار"
"MÜJE","مژه"
"MÜJGAN","مژگان"
"MÜKÂFAT","مكافات"
"MÜKÂLEME","مكالمه"
"MÜKÂTEBE","مكاتبه"
"MÜKEDDER","مكدر"
"MÜKEMMELEN","مكملا"
"MÜKEMMELİYET","مكمليت"
"MÜKERRER","مكرر"
"MÜKERREREN","مكررا"
"MÜKEYYİF","مكيف"
"MÜKTESEB","مكتسب"
"MÜKTESEBAT","مكتسبات"
"MÜKTESEBE","مكتسبه"
"MÜLAKAT","ملاقات"
"MÜLAYİM","ملایم"
"MÜLAZIM","ملازم"
"MÜLAZIM-I EVVEL","ملازم اول"
"MÜLAZIM-I SÂNİ","ملازم ثانى"
"MÜLEVVEN","ملون"
"MÜLEVVES","ملوث"
"MÜLGA","ملغا"
"MÜLHAKAT","ملحقات"
"MÜLK","ملك"
"MÜLTECİ","ملتجى"
"MÜLTEFİT","ملتفت"
"MÜLÛK","ملوک"
"MÜMANE'ET","ممانعت"
"MÜMASELET","مماثلت"
"MÜMASİL","مماثل"
"MÜMÂŞAT","مماشات"
"MÜMESSİL","ممثل"
"MÜMEYYİZ","مميز"
"MÜMEYYİZE","مميزه"
"MÜMİN","مؤمن"
"MÜMİNÎN","مؤمنين"
"MÜMKİN","ممكن"
"MÜMSİK","ممسك"
"MÜMTAZ","ممتاز"
"MÜMTEHİN","ممتحن"
"MÜMTENİ","ممتنع"
"MÜMZÂ","ممضى"
"MÜNÂCAT","مناجات"
"MÜNÂDİ","منادی"
"MÜNAFIK","منافق"
"MÜNÂKALAT","مناقلات"
"MÜNÂKASA","مناقصه"
"MÜNÂKAŞA","مناقشه"
"MÜN'AKİD","منعقد"
"MÜN'AKİS","منعكس"
"MÜNAKKAŞ","منقش"
"MÜNASEBAT","مناسبات"
"MÜNATİF","منعطف"
"MÜNÂVEBETEN","مناوبة"
"MÜNAZA'ÂT","منازعات"
"MÜNBAİS","منبعث"
"MÜNBİT","منبت"
"MÜNCEMİD","منجمد"
"MÜNDEMİC","مندمج"
"MÜNDERİCÂT","مندرجات"
"MÜNEBBİH","منبه"
"MÜNECCİM","منجم"
"MÜNEKKİD","منقد"
"MÜNEVVER","منور"
"MÜNFERİD","منفرد"
"MÜNHAL","منحل"
"MÜNHASIR","منحصر"
"MÜNHASIRAN","منحصرا"
"MÜNHEZİM","منهزم"
"MÜN'İM","منعم"
"MÜNKASIM","منقسم"
"MÜNKER","منكر"
"MÜNKESİR","منكسر"
"MÜNKİR","منكر"
"MÜNTAHAB","منتخب"
"MÜNTAHABAT","منتخبات"
"MÜNTAKİM","منتقم"
"MÜNTEHA","منتها"
"MÜNTESİB","منتسب"
"MÜNTEŞİR","منتشر"
"MÜPHEM","مبهم"
"MÜPTELÂ","مبتلا"
"MÜRÂAT","مراعات"
"MÜRACAAT","مراجعت"
"MÜRADİF","مرادف"
"MÜRAİ","مرائى"
"MÜRASELÂT","مراسلات"
"MÜRASELE","مراسله"
"MÜRDE","مرده"
"MÜREBBÎ","مربى"
"MÜRECCAH","مرجح"
"MÜREFFEH","مرفه"
"MÜREKKEB","مركب"
"MÜRETTEB","مرتب"
"MÜRETTİB","مرتب"
"MÜREVVİC","مروج"
"MÜRG","مرغ"
"MÜRGÂB","مرغاب"
"MÜRİD","مرید"
"MÜRŞİD","مرشد"
"MÜRTECİ","مرتجع"
"MÜRTED","مرتد"
"MÜRTEFİ","مرتفع"
"MÜRTEHEN","مرتهن"
"MÜRTEİŞ","مرتعش"
"MÜRTEKİB","مرتكب"
"MÜRTEŞÎ","مرتشى"
"MÜRÛR","مرور"
"MÜRÛR-İ ZAMAN","مرور زمان"
"MÜRÜVVET","مروت"
"MÜSAADE","مساعده"
"MÜSAADEKÂR","مساعده كار"
"MÜSABAKA","مسابقه"
"MÜSABIK","مسابق"
"MÜSADEME","مصادمه"
"MÜSADERE","مصادره"
"MÜSÂDİF","مصادف"
"MÜSAFİR","مسافر"
"MÜSAİD","مساعد"
"MÜSALAHA","مصالحه"
"MÜSALEMETKÂR","مسالمت كار"
"MÜSÂMAHA","مسامحه"
"MÜSÂMAHAKÂR","مسامحه كار"
"MÜSAMERE","مسامره"
"MÜSÂVAT","مساوات"
"MÜSBET","مثبت"
"MÜSEBBİB","مسبب"
"MÜSECCEL","مسجل"
"MÜSEKKİN","مسكن"
"MÜSEKKİT","مسكت"
"MÜSELLAH","مسلح"
"MÜSELLEME","مسلمه"
"MÜSELLES","مثلث"
"MÜSELLESAT","مثلثات"
"MÜSELLESÜŞŞEKL","مثلث الشكل"
"MÜSELMÂN","مسلمان"
"MÜSELSEL","مسلسل"
"MÜSEMMA","مسمى"
"MÜSHİL","مسهل"
"MÜSİN","مسن"
"MÜSKİRAT","مسكرات"
"MÜSLİM","مسلم"
"MÜSMİR","مثمر"
"MÜSMİRİYET","مثمریت"
"MÜSRİF","مسرف"
"MÜSTAB'ED","مستبعد"
"MÜSTA'FÎ","مستعفى"
"MÜSTAĞNÎ","مستغنى"
"MÜSTAHAK","مستحق"
"MÜSTAHDEM","مستخدم"
"MÜSTAHDEMÎN","مستخدمين"
